,name,email,password,user_id,like,rank,unit
0,0,0,0,userid_0,"[138, 1165, 917, 1264]",상병,53사단
1,1,1,1,userid_1,"[420, 1014, 1380, 907]",일병,53사단
2,2,2,2,userid_2,"[316, 1369, 1359, 978, 1009, 1004, 910, 1045, 1339, 941, 977, 510, 556, 400]",일병,53사단
3,3,3,3,userid_3,"[507, 770, 872, 453, 474, 1248, 1311, 711, 981, 920, 970, 996, 1037]",일병,31사단
4,4,4,4,userid_4,"[1313, 944, 256, 1233, 1307]",이등병,53사단
5,5,5,5,userid_5,"[544, 1037, 974, 914, 996, 498, 1013, 482, 530, 490, 1172, 1407, 256, 319]",상병,53사단
6,6,6,6,userid_6,"[917, 879, 897, 516, 1417, 820, 84, 852, 1323, 878, 856, 877, 1344, 778, 1345, 620, 803]",일병,53사단
7,7,7,7,userid_7,"[519, 809, 791, 811, 825, 170, 760, 1346, 1032]",병장,31사단
8,8,8,8,userid_8,"[612, 689, 710, 714, 643, 720, 697, 869, 519, 776, 1317, 759, 418, 679]",이등병,53사단
9,9,9,9,userid_9,[984],일병,53사단
10,10,10,10,userid_10,"[1257, 742, 1024, 141, 0, 1245, 838, 956, 447, 932, 541, 611, 1274]",병장,53사단
11,11,11,11,userid_11,[405],상병,53사단
12,12,12,12,userid_12,"[566, 418, 1345, 156, 738, 1323, 778, 1324, 1331, 1318]",병장,31사단
13,13,13,13,userid_13,"[576, 555, 1301, 72, 1271, 262, 203, 347, 338, 146]",상병,53사단
14,14,14,14,userid_14,"[803, 657]",병장,31사단
15,15,15,15,userid_15,"[288, 465, 1429, 705, 1226, 802, 691, 1353, 639, 506, 768, 532]",상병,31사단
16,16,16,16,userid_16,"[756, 639, 575, 375, 1155, 1154, 441, 788, 1369]",상병,53사단
17,17,17,17,userid_17,[859],병장,31사단
18,18,18,18,userid_18,"[729, 525, 397, 470, 753, 482, 851, 513, 424, 73, 1041, 1264, 539, 1372, 415, 1137, 89, 1216, 1219, 1136, 519]",이등병,53사단
19,19,19,19,userid_19,"[705, 838, 1370, 685, 1296, 640, 579, 479]",이등병,53사단
20,20,20,20,userid_20,"[246, 1104, 1165, 1018, 636, 283]",병장,31사단
21,21,21,21,userid_21,"[1385, 887, 28, 116, 860, 1387, 123, 34, 636, 1018, 1350, 385, 17, 1193, 611, 539]",일병,31사단
22,22,22,22,userid_22,"[439, 1225, 420]",이등병,31사단
23,23,23,23,userid_23,"[1039, 351, 1421, 313, 507, 416, 1394, 657, 904, 494, 1368, 979, 968, 801, 865, 831, 1346, 118, 797, 791, 832, 602]",상병,53사단
24,24,24,24,userid_24,"[1329, 492, 657, 770, 1290, 1031, 901, 1420, 1132, 902, 37, 720, 260, 303, 1141, 1042]",일병,53사단
25,25,25,25,userid_25,"[536, 439, 849, 418, 770, 453, 79]",병장,31사단
26,26,26,26,userid_26,"[1183, 1094, 1088, 1082, 1170, 1234, 1228, 1059, 91, 1165, 936, 554, 166, 190, 73]",일병,31사단
27,27,27,27,userid_27,"[1197, 276, 547, 252, 1066, 344, 582, 1256, 508, 9, 765, 868, 566, 1370, 1264, 788]",상병,31사단
28,28,28,28,userid_28,"[70, 242, 765, 372, 911]",상병,31사단
29,29,29,29,userid_29,"[387, 406, 1114, 1412, 3, 426, 67, 244, 102, 710, 689, 973, 911, 488, 467, 1305, 579, 676]",일병,53사단
30,30,30,30,userid_30,"[956, 667, 717, 708, 1056, 50, 694, 59, 1127, 175, 494, 1368, 909, 968, 1339, 506, 73, 1041]",병장,53사단
31,31,31,31,userid_31,"[624, 451, 403, 932, 1005, 414, 1016, 1030, 1040, 1141]",병장,31사단
32,32,32,32,userid_32,"[492, 657, 1003, 734, 283, 1185]",상병,53사단
33,33,33,33,userid_33,"[127, 1222, 300]",일병,31사단
34,34,34,34,userid_34,"[691, 1120, 1243, 1394, 372, 1137, 309, 1136, 89, 1216, 1219, 506, 405, 53, 314, 117, 294, 273, 285, 322, 185, 183]",일병,31사단
35,35,35,35,userid_35,"[687, 1309, 427, 498, 387, 406, 1049, 903, 533, 472, 512]",일병,53사단
36,36,36,36,userid_36,"[404, 534, 471, 917, 492, 657, 995, 559, 704, 890, 879, 872, 74, 453, 1248, 474, 770]",일병,53사단
37,37,37,37,userid_37,"[1372, 1028, 1037, 914, 996, 981, 974, 920, 1373, 690, 1068, 1426, 42, 31, 1139, 1424, 367, 943, 381, 402, 612, 1308]",상병,31사단
38,38,38,38,userid_38,"[106, 798, 291, 126, 1225]",상병,31사단
39,39,39,39,userid_39,[73],병장,31사단
40,40,40,40,userid_40,"[631, 1196, 1227]",이등병,53사단
41,41,41,41,userid_41,"[711, 1273, 662, 527, 987, 878, 1340, 738, 1323, 1344, 821, 114, 537, 1248, 474]",병장,53사단
42,42,42,42,userid_42,"[941, 977, 111, 1104, 765, 893, 881, 1001, 1021, 609, 54, 14, 573, 1388, 222, 529, 812, 455, 1269, 452]",이등병,53사단
43,43,43,43,userid_43,"[490, 1172, 1126, 1414]",이등병,31사단
44,44,44,44,userid_44,"[1116, 384, 1186, 320, 675, 330, 352, 422, 236, 1017, 1279, 605, 73, 739, 1104, 917]",이등병,31사단
45,45,45,45,userid_45,"[1121, 933, 1236, 957, 151, 23, 952, 928, 407, 1221, 1226, 1074, 1370, 885]",일병,53사단
46,46,46,46,userid_46,"[916, 1043, 431, 416, 507, 1356, 958, 1365, 994, 1010, 1227, 60, 308, 146, 263, 312]",일병,31사단
47,47,47,47,userid_47,"[608, 1093, 1373, 914, 923, 996, 720, 537, 421, 79, 619, 730]",병장,53사단
48,48,48,48,userid_48,"[1032, 1150, 644, 508, 26, 1256, 1310, 22, 582, 9, 400, 165, 536, 606, 291]",일병,53사단
49,49,49,49,userid_49,"[48, 764, 733, 256, 467, 537, 696, 1266, 858, 1351, 504, 417, 1251, 480, 498]",상병,53사단
