,name,email,password,user_id,like,rank,unit
0,0,0,0,userid_0,"[736, 726, 744, 805, 796, 1349, 746, 19, 724, 688, 81, 412, 817, 790, 1328, 1348, 1277, 648, 890]",이등병,53사단
1,1,1,1,userid_1,"[890, 731, 138, 299, 310, 484, 943, 869, 796, 372, 1382, 965, 292]",병장,53사단
2,2,2,2,userid_2,"[1364, 696, 854, 839, 446, 197, 966, 679, 796, 1349, 724, 744, 875, 19, 736, 916]",병장,53사단
3,3,3,3,userid_3,"[1438, 137, 386, 730, 1305, 631, 645, 619, 542]",일병,53사단
4,4,4,4,userid_4,"[929, 1071, 1217, 138, 987, 633, 556, 1301, 555, 637, 570, 1300, 1225, 649, 947]",이등병,53사단
5,5,5,5,userid_5,"[411, 659, 589, 1032, 515, 1185, 1297, 1284, 1262, 517]",병장,53사단
6,6,6,6,userid_6,"[932, 81, 439, 405, 5, 419]",병장,53사단
7,7,7,7,userid_7,"[291, 446, 1359, 978, 290, 318, 281, 218, 287, 234, 1395, 1302, 1289, 627, 1018, 636]",병장,31사단
8,8,8,8,userid_8,"[147, 16, 1150, 324]",상병,31사단
9,9,9,9,userid_9,"[756, 862, 965, 1382, 85, 1404, 1140, 346, 542, 1264, 446, 412, 1185, 13, 1221, 1074]",병장,31사단
10,10,10,10,userid_10,"[568, 658, 623, 695, 1243]",이등병,31사단
11,11,11,11,userid_11,"[849, 106]",병장,53사단
12,12,12,12,userid_12,"[1117, 181, 626, 69, 386, 701, 552, 712, 1381, 688, 909, 979, 494, 1368, 968, 903]",병장,53사단
13,13,13,13,userid_13,"[1429, 465, 288, 589]",병장,31사단
14,14,14,14,userid_14,"[890, 1363, 750, 463, 841, 1001, 1366, 888, 1417]",상병,31사단
15,15,15,15,userid_15,"[689, 643, 714, 710, 411, 65, 45, 1173, 720, 881, 893, 1001, 1047]",병장,31사단
16,16,16,16,userid_16,"[849, 1295, 984, 471, 404, 520, 413, 925]",상병,31사단
17,17,17,17,userid_17,"[5, 419, 734]",일병,31사단
18,18,18,18,userid_18,"[1307, 1287, 423, 306, 223, 888, 1274]",일병,31사단
19,19,19,19,userid_19,"[600, 1391, 935, 1015, 922, 696, 537, 622, 157, 1081, 536, 606, 416, 827, 95, 401, 464, 806, 355, 334, 487]",상병,53사단
20,20,20,20,userid_20,"[1104, 739, 643, 700, 710, 400, 626, 794, 389, 391, 844, 771, 502, 434, 282, 609, 14, 573, 803, 1007]",일병,53사단
21,21,21,21,userid_21,[66],병장,31사단
22,22,22,22,userid_22,"[813, 752, 381, 1206, 148, 1271, 420]",일병,53사단
23,23,23,23,userid_23,"[1248, 770]",일병,53사단
24,24,24,24,userid_24,"[670, 452, 1246, 451, 1259, 812, 418, 467, 698, 587, 663, 507, 416, 623, 885, 479, 1287, 592, 1305, 579, 72, 676, 1298]",이등병,31사단
25,25,25,25,userid_25,"[1351, 417, 858, 347, 247, 262, 293, 239, 338]",이등병,53사단
26,26,26,26,userid_26,"[101, 244, 1144, 913, 1412, 4, 505, 845, 720, 1273, 742, 1257]",병장,53사단
27,27,27,27,userid_27,"[1101, 990, 773, 808, 836, 300]",이등병,31사단
28,28,28,28,userid_28,[554],이등병,53사단
29,29,29,29,userid_29,"[792, 1380, 5, 944, 1387, 860, 1302, 1289, 627, 282]",병장,31사단
30,30,30,30,userid_30,"[71, 211, 1014, 105, 10, 802, 552, 712, 785, 303]",병장,31사단
31,31,31,31,userid_31,"[1146, 1210, 1186, 1116, 1171, 384, 1262, 379]",상병,53사단
32,32,32,32,userid_32,"[516, 112, 91, 1222, 494, 1368, 909, 904, 968, 336, 180, 339, 186, 332, 1158, 11, 289, 193, 323, 137, 416, 662, 558, 625, 446]",상병,31사단
33,33,33,33,userid_33,"[1196, 739, 498, 405, 324, 285, 215, 198, 294, 641, 591, 1274, 1150]",병장,53사단
34,34,34,34,userid_34,"[1376, 583, 956, 394, 587, 765]",병장,31사단
35,35,35,35,userid_35,"[555, 637, 1301, 576, 570, 1306, 692, 1300, 705, 292]",일병,31사단
36,36,36,36,userid_36,"[1260, 710, 689, 643, 700, 487]",상병,53사단
37,37,37,37,userid_37,"[827, 133, 95, 731, 541, 323, 885, 640, 907, 1014]",이등병,31사단
38,38,38,38,userid_38,"[458, 608, 538, 580, 593, 1400, 578, 1299, 847, 138, 731, 400, 1319, 829]",이등병,31사단
39,39,39,39,userid_39,"[1038, 1027, 976, 1029]",병장,31사단
40,40,40,40,userid_40,"[406, 1024, 141, 640, 1078, 85, 242, 70, 892, 890, 670, 1295]",병장,53사단
41,41,41,41,userid_41,"[695, 623, 568, 658, 1035, 954, 1034, 451, 447, 519, 405, 541, 810, 412, 638]",상병,31사단
42,42,42,42,userid_42,"[401, 1141, 236, 1313, 1043, 431, 963, 542, 1339]",일병,31사단
